phrase,means
蒔かぬ種は生えぬ,何もしないで期待するだけでは成果が得られないこと
馬子にも衣装,見た目や外見が大切であること。身なりや服装に気を使うこと
眉毛を読まれる,表情や態度から感情や考えが読み取られること
眉に唾を塗る,考えが甘く、無理な期待を抱くこと
眉に火が点く,非常に興奮して興奮している様子
真綿で首を締める,柔らかいもので危険なことをする。甘い言葉でだまされること
木乃伊取りが木乃伊になる,自分が仕掛けた罠に自分がかかること
身から出た錆,自分の行動や性格の結果として生じる困難や問題
水に油,相性が非常に悪いこと。争いや軋轢が絶えないこと
味噌を付ける,余計なことをして物事を複雑にすること
三日天下,短期間の支配や影響力。一時的な成功
三日坊主,始めてから三日で飽きる。続かないこと
三つ子の魂百まで,人の性格や傾向は幼少期から変わらないこと
耳を掩いて鐘を盗む,現実を無視して問題を解決しようとすること
六日の菖蒲,一時的な繁栄や幸運。短い期間の幸福
昔取った杵柄,以前の経験や技能を生かして成功すること
矛盾,相反する要素や意見が同時に存在すること
娘一人に婿八人,娘には縁談が多いが、実際に結婚に至ることが難しいこと
胸に一物,秘密や特別なものを抱えていること
無理が通れば道理が引っ込む,非現実的な手段や方法が通用すると、本来の理に従うことがなくなること
目から鼻へ抜ける,非現実的で信じがたいこと。ありえないこと
目屎鼻屎を笑う,些細なことで笑う。取るに足らないことを大げさに笑うこと
盲蛇に怖じず,無知な者が恐れることがない。知らないからこそ平気で行動すること
目には目歯には歯,相手が自分にしたことに同じような仕返しをすること
目の上の瘤,面倒な相手や問題。手を焼くこと
目は口ほどに物を言う,表情や態度が感情や考えを示すこと
孟母三遷の教え,教育や環境の重要性。子供の教育は重要であること
餅は餅屋,専門の分野にはその分野の専門家が必要であること
沐猴にして冠す,見かけ倒しや能力が伴わない者に権威や名誉を与えること
本木に勝る未木なし,過去の経験や知識にこだわるあまり、新しいアイディアや進歩を阻害すること
元の鞘に納まる,元の状態や位置に戻ること。元に戻ることが最善であること
元の木阿弥,元の状態に戻ること。事態が変わらないこと
桃栗三年柿八年,物事にはそれなりの時間がかかる。成功や成果には辛抱が必要であること
焼け石に水,無駄な努力や手間。解決策が不十分であること
焼け野の雉子夜の鶴,人が困難な状況にあるときに、助けが現れること
安物買いの銭失い,安いものを買うと結局は損をすること
柳に雪折れなし,強靭で柔軟なものはどんな逆境にも屈しないこと
柳の下にいつも泥鰌はおらぬ,優れた場所や条件には優れた者が集まること
藪から棒,些細なことから大きな問題が生じること
藪を突突いて蛇を出す,問題や困難を引き起こすこと
病膏肓に入る,治療のしようがないほど深刻な問題に直面すること
病は気から,健康には心の安定が大切であること
山高きが故に尊からず,高い地位や権威を持っているからといって、人から尊敬されるわけではないこと
闇夜の鉄砲,予測や警告なしに突然の出来事や災害が起こること
雪と墨,対照的なもの。白と黒。異なる性質や要素が共存すること
雪に白鷺,白いものが雪の中で目立つ。他のものが派手な状況でも、質素なものが際立つこと
油断大敵,油断すると大きな失敗や問題が生じること
欲に目が眩む,欲望が強すぎて、判断力や分別が鈍ること
弱り目に祟り目,弱っているときにさらなる困難や災難が訪れること
楽は苦の種、苦は楽の種,楽しいことが後に苦労を生むことがあり、逆に苦しいことが後に楽しさを生むことがある
洛陽の紙価を高む,場所や状況によって価値が変わること
律義者の子沢山,正直で誠実な人が多くの子供をもつこと
梁上の君子,立場や地位が高い者が品行方正であること
両手に花,二つの好都合なことが同時に起こること
遼東の豕,未知の土地で何が起こるかわからないこと
良薬は口に苦し,効果のある医薬品は味が苦いことが多い。辛い経験が有益であること
類は友を呼ぶ,似た者同士が集まること
壟断,障害や障壁があること。進むべき道に妨げがあること
隴を得て蜀を望む,手に入れたものに飽き足りず、次はそれ以上のものを求めること
論語読みの論語知らず,理論や教養があるが実践力や経験がないこと
渡りに船,都合が良い時に助けが現れること
渡る世間に鬼はない,どんな世の中でも問題や難題は必ず存在すること
笑う門には福来たる,明るく笑顔でいる人には幸運が訪れること
